Sale_ID,Customer_ID,Book_ID,Date_ID,Store_ID,Quantity_Sold,Sale_Amount,Discount_Applied
736499,1000,212,20230424,10,3,177.75,16.95,
736490,1000,212,20230424,10,3,122,2
246057,480,101,20230803,56,1,86.32,7.12
802956,162,192,20230802,14,2,82.08,3.95
542015,181,94,20230807,53,3,39.81,1.64
282519,265,407,20230725,77,3,155.78,10.57
980269,378,450,20230724,60,2,176.85,5.97
441652,663,417,20230317,71,3,79.13,2.36
567904,449,170,20230530,67,5,101.68,3.39
357605,532,145,20230629,31,4,241.85,18.45
75380,228,17,20230816,23,3,100.77,3.87
525418,415,195,20230927,98,3,270.12,10.04
699130,173,259,20231203,43,4,66.68,5.6
520956,723,18,20231207,61,3,296.0,5.92
45211,670,192,20230223,17,4,113.89,1.35
155469,971,196,20230218,8,5,219.43,20.03
562071,370,461,20230124,38,1,55.42,4.47
369427,751,247,20230207,10,4,255.83,22.83
174506,590,162,20230215,96,3,271.47,16.14
411872,480,363,20230811,97,2,109.01,4.42
803956,534,5,20230124,16,3,116.11,7.58
534702,988,227,20230328,9,1,88.14,1.68
934635,658,470,20230302,6,5,262.15,24.53
141203,708,395,20230503,81,1,82.71,1.73
849981,916,319,20230224,42,5,152.6,7.49
527962,214,16,20230608,16,3,32.8,2.33
326802,533,373,20230101,4,1,77.18,2.11
598670,978,120,20230616,8,2,49.37,2.14
322976,628,269,20230321,13,3,147.25,11.28
606479,221,211,20230623,15,5,468.48,14.14
715340,542,265,20231203,100,4,164.56,9.36
606615,263,43,20230427,22,3,185.58,1.12
572755,523,313,20230222,24,5,325.51,9.84
393844,906,202,20231026,71,4,125.57,0.63
501674,645,33,20230729,42,4,382.15,12.64
13721,818,123,20230723,100,2,31.55,3.05
532090,933,104,20231028,33,5,166.14,12.24
456177,265,226,20230330,51,5,103.96,10.28
614117,447,111,20231019,38,4,382.67,3.36
260105,817,433,20230623,1,2,80.43,7.89
764647,343,331,20230806,90,2,168.05,5.67
241468,844,432,20230425,100,1,33.33,2.2
81805,960,132,20230207,12,1,15.63,0.58
479048,813,364,20230421,96,5,416.68,34.08
937947,702,197,20230102,63,1,34.91,1.82
754231,734,436,20230130,64,2,34.96,1.59
447,622,474,20230830,19,3,260.76,1.99
42430,341,487,20231231,83,4,111.87,8.73
277191,627,493,20230325,54,1,32.39,0.61
190030,309,157,20230624,80,3,275.54,14.36
898038,112,483,20230724,7,5,63.01,2.5
273099,748,160,20230712,57,4,241.78,14.0
152162,17,390,20230428,53,3,115.5,8.6
344362,883,159,20230723,81,1,97.68,7.13
920574,770,320,20230429,84,5,56.33,4.84
684971,245,18,20231017,67,4,105.79,6.62
455312,336,361,20230505,52,4,147.47,13.04
804294,56,152,20230601,22,3,281.83,7.31
586186,902,284,20231115,98,2,28.54,2.29
413605,691,258,20230108,1,3,166.92,0.41
194788,658,483,20230408,16,3,56.18,2.67
71118,336,365,20230521,82,1,31.81,0.52
891042,73,206,20231222,36,1,51.88,3.4
812081,786,483,20230113,93,3,47.48,4.53
878440,39,289,20231229,29,1,30.27,2.7
931747,900,26,20230614,90,1,37.41,0.2
281082,539,39,20230406,51,5,95.97,6.51
421347,962,406,20231001,75,5,446.09,25.85
464058,907,398,20230712,99,1,98.76,3.26
887974,186,128,20230922,55,2,129.88,2.15
633,374,14,20230729,26,2,94.15,3.99
963163,399,242,20230317,23,5,265.8,11.33
103370,591,64,20230927,40,3,164.67,2.51
379208,506,31,20231116,89,3,234.19,13.52
535546,150,380,20231102,55,4,367.3,8.24
831825,10,165,20231211,48,3,203.54,8.01
594623,571,187,20230425,28,2,33.19,1.19
817820,420,66,20230407,16,5,260.52,4.18
542068,260,284,20230605,91,2,133.68,3.39
458149,850,236,20231121,26,1,84.06,6.76
188938,642,277,20230930,80,4,125.64,0.62
6160,16,105,20231109,57,2,102.75,2.21
